Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
OpenEMR_PatientCreation,Failure,8,8,2024-03-26 15:44:27 -0400,2024-10-29 10:38:02 -0400,0:00:00
OpenEMR_Login,Success,5,1,2024-03-26 15:49:28 -0400,2025-02-26 09:32:12 -0500,0:00:06
Sandbox,Success,4,1,2024-07-15 08:38:33 -0400,2024-07-15 08:39:36 -0400,0:00:00
OpenEMR_LaunchXAMPP,Success,4,2,2024-07-11 13:12:24 -0400,2024-10-22 09:34:36 -0400,0:00:48
OpenEMR_Launch,Success,5,0,2024-03-26 15:48:45 -0400,2025-02-26 09:17:24 -0500,0:01:06
OpenEMR_InitialState,Success,1,0,2024-03-26 15:46:18 -0400,2024-03-26 15:46:18 -0400,0:00:28
